reason,category,date,amount,note
NYE,Holiday/Fun,2024-12-01,150,
Car Tax,Car,2025-01-01,385,
Korn Bday,Gifts,2025-02-01,15,
Poland,Holiday/Fun,2025-02-01,200,
JB Bday,Holiday/Fun,2025-03-01,170,Ticket paid
My Bday,Holiday/Fun,2025-04-01,50,
Kimmy Stag do,Holiday/Fun,2025-04-01,200,
Easter Minehead,Holiday/Fun,2025-04-01,200,
Garmin Watch,Gifts,2025-04-01,200,
Watch,Gifts,2025-05-01,300,100 paid for by mun n da
Kim & Ce Wedding,Holiday/Fun,2025-05-01,800,Flights paid - accom calise/kim (not paid)
Big Weekend,Holiday/Fun,2025-05-01,100,
Lido Fest,Holiday/Fun,2025-06-01,150,
Tay wedding,Holiday/Fun,2025-06-01,100,
Three peaks,Holiday/Fun,2025-06-01,200,
Copenhagen,Holiday/Fun,2025-06-01,200,
Harv in pool,Holiday/Fun,2025-07-01,100,
Oasis,Holiday/Fun,2025-07-01,250,"150 ticket, 100 spend inc. train"
Bongos,Holiday/Fun,2025-08-01,100,
Prague,Holiday/Fun,2025-10-01,500,
Athens Marathon & Cyprus,Holiday/Fun,2025-11-01,300,300 flights (done) 300 spend
Barry can't swim,Holiday/Fun,2025-11-01,150,accom booked
Christmas,Gifts,2025-12-01,150,"50 K, 100 Fam"
Car Tax,Car,2026-01-01,395,
Korn's b day bash Poland,Holiday/Fun,2026-02-01,500,"70 flight, 180 spend"
Suit,Weddings,2026-02-01,150,
LJ Stag 1,Weddings,2026-03-01,100,LJ Stag - painballing and Oxford
LJ Stag 2,Weddings,2026-03-01,300,LJ Stag the big one
Ski hol,Holiday/Fun,2026-03-01,1200,Flights and accom paid
LJ Wedding,Weddings,2026-03-01,100,Taxis/Booze
Korns bday present,Gifts,2026-04-01,400,Flights and accom 
George & Sian - Cyprus,Weddings,2026-05-01,300,"100 flight, 200 Spend, 50 gift"
Poland wedding,Weddings,2026-05-01,300,
Car insurance,Car,2026-05-01,300,Unsure on the deets of this - insured through dad
Survey for house,House,2026-05-01,300,
Mortgage Broker,House,2026-05-01,300,
Solicitor - First payment,House,2026-05-01,200,For searches
Solicitor - other payments,House,2026-07-01,800,Rest of the bill
Paris 2026,Holiday/Fun,2026-09-01,200,Spend in paris for 1 weekend
Beth & Mitch Wedding,Weddings,2026-09-01,250,"Fuel, Hotel, Drinks"
